Species,SMILES,Tg (K),Tm_exp (K)
Nicardipinhydrochloride,COC(=O)C1=C(C)NC(C)=C(C(=O)OCCN(C)Cc2ccccc2)C1c1cccc([N+](=O)[O-])c1,358,440
Chloroamphenicol-I,O=C(NC(CO)C(O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,301,349
glycerol,C(C(CO)O)O,189,
glycerol,C(C(CO)O)O,192,
glycerol,C(C(CO)O)O,194,
ISOPOOH,C(C)(=C)C(CO[H])OO[H],142,
IEPOX,C1(C(O1)CO[H])(CO[H])C,163,
IEPOX,C1(C(O1)CO[H])(CO[H])C,166,
IEPOX,C1(C(O1)CO[H])(CO[H])C,168,
IEPOX,C1(C(O1)CO[H])(CO[H])C,169,
IEPOX,C1(C(O1)CO[H])(CO[H])C,169.7,
2-methyltetrol,O(C[C@]([C@@H](CO[H])O[H])(C)O[H])[H],226,
2-methyltetrol,O(C[C@]([C@@H](CO[H])O[H])(C)O[H])[H],230,
2-methyltetrol,O(C[C@]([C@@H](CO[H])O[H])(C)O[H])[H],232,
2-methyltetrol sulfate,[S](O)(=O)(=O)OC(CO[H])(C(CO[H])O[H])C,276,
cis pinic acid,CC1([C@H](CC1C(=O)O)CC(=O)O)C,268,
cis pinonic acid ,CC(=O)[C@@H]1C[C@@H](C1(C)C)CC(=O)O,265,
di-n-butyl phthalate,CCCCOC(=O)c1ccccc1C(=O)OCCCC,176,
etane,CC,48.99,
propane,CCC,50.857,
butane,CCCC,74.571,
pentane,CCCCC,78.714,
hexane,CCCCCC,91.428,
heptane,CCCCCCC,94.143,
octane,CCCCCCCC,96.714,
nonane,CCCCCCCCC,100,
decane,CCCCCCCCCC,103.143,
